time_s,reference_heading_deg,actual_heading_deg,heading_error_deg
0.672,-29.57,-26.40,-3.17
0.704,-19.62,-20.00,0.38
0.736,-12.57,-17.23,4.66
0.768,-7.52,-13.78,6.26
0.800,-3.84,-12.00,8.16
0.832,-1.09,-9.83,8.74
0.864,0.99,-8.78,9.78
0.896,2.61,-7.29,9.89
0.928,3.86,-6.57,10.44
0.960,4.83,-6.98,11.81
0.992,5.60,-7.35,12.95
1.024,6.23,-7.76,13.99
1.056,6.78,-7.02,13.80
1.088,7.26,-6.39,13.65
1.120,7.68,-5.73,13.40
1.152,8.03,-5.15,13.18
1.184,8.34,-4.50,12.84
1.216,8.61,-3.97,12.58
1.248,8.86,-3.48,12.34
1.280,9.08,-2.99,12.07
1.312,-105.10,-2.53,-102.56
1.344,-105.12,-5.37,-99.75
1.376,-105.12,-7.96,-97.16
1.408,-105.12,-10.56,-94.56
1.440,-105.12,-13.15,-91.97
1.472,-105.12,-15.75,-89.37
1.504,-105.12,-18.35,-86.76
1.536,-105.12,-20.96,-84.16
1.568,-105.12,-23.56,-81.56
1.600,-105.12,-26.16,-78.96
1.632,-105.12,-28.76,-76.36
1.664,-105.12,-31.36,-73.76
1.696,-105.12,-33.95,-71.17
1.728,-105.12,-36.55,-68.57
1.760,-105.12,-39.14,-65.98
1.792,-105.12,-41.73,-63.39
1.824,-105.12,-44.31,-60.81
1.856,-105.12,-46.90,-58.22
1.888,-105.12,-49.48,-55.64
1.920,-105.12,-52.07,-53.05
1.952,-105.12,-54.65,-50.47
1.984,-105.12,-57.23,-47.89
2.016,-105.12,-59.81,-45.31
2.048,-105.12,-62.39,-42.73
2.080,-105.12,-64.97,-40.15
2.112,-105.12,-67.55,-37.57
2.144,-105.12,-70.13,-35.00
2.176,-105.12,-72.70,-32.42
2.208,-105.13,-75.28,-29.84
2.240,-105.13,-77.86,-27.27
2.272,-105.13,-80.43,-24.69
2.304,-105.36,-80.15,-25.21
2.336,-105.35,-82.73,-22.62
2.368,-105.56,-82.30,-23.26
2.400,-105.78,-84.24,-21.54
2.432,-105.99,-84.47,-21.52
2.464,-106.19,-85.86,-20.33
2.496,-106.39,-86.40,-19.99
2.528,-106.58,-87.48,-19.11
2.560,-106.77,-88.23,-18.55
2.592,-106.96,-89.07,-17.89
2.624,-107.14,-89.81,-17.33
2.656,-107.31,-90.58,-16.73
2.688,-107.48,-91.30,-16.19
2.720,-107.65,-92.02,-15.63
2.752,-107.81,-92.70,-15.11
2.784,-107.97,-93.38,-14.59
2.816,-108.13,-94.03,-14.10
2.848,-108.28,-94.67,-13.62
2.880,-108.43,-95.28,-13.15
2.912,-108.58,-95.88,-12.69
2.944,-108.72,-96.47,-12.25
2.976,-108.86,-97.04,-11.82
3.008,-109.00,-97.59,-11.41
3.040,-109.13,-98.13,-11.00
3.072,-109.26,-98.65,-10.61
3.104,-109.39,-99.16,-10.22
3.136,-109.51,-99.66,-9.85
3.168,-109.63,-100.14,-9.49
3.200,-109.75,-100.61,-9.14
3.232,-109.86,-101.07,-8.79
3.264,-109.98,-101.51,-8.46
3.296,-110.08,-101.95,-8.14
3.328,-110.19,-102.37,-7.82
3.360,-110.29,-102.78,-7.52
3.392,-110.40,-103.18,-7.22
3.424,-110.49,-103.56,-6.93
3.456,-110.59,-103.94,-6.65
3.488,-110.68,-104.31,-6.37
3.520,-110.77,-104.67,-6.11
3.552,-110.86,-105.01,-5.85
3.584,-110.95,-105.35,-5.59
3.616,-111.03,-105.68,-5.35
3.648,-111.11,-106.00,-5.11
3.680,-111.19,-106.31,-4.88
3.712,-111.26,-106.61,-4.65
3.744,-111.34,-106.91,-4.43
3.776,-111.41,-107.19,-4.21
3.808,-111.47,-107.47,-4.01
3.840,-111.54,-107.74,-3.80
3.872,-105.43,-108.00,2.57
3.904,-102.48,-104.32,1.83
3.936,-100.80,-104.90,4.10
3.968,-99.71,-103.25,3.54
4.000,-98.98,-103.62,4.64
4.032,-98.44,-102.76,4.32
4.064,-98.05,-102.93,4.88
4.096,-97.75,-102.44,4.69
4.128,-97.51,-102.50,4.98
4.160,-97.33,-102.19,4.87
4.192,-97.17,-102.19,5.02
4.224,-97.05,-101.98,4.93
4.256,-96.94,-101.95,5.00
4.288,-96.85,-101.79,4.94
4.320,-96.78,-101.74,4.97
4.352,-96.71,-101.62,4.92
4.384,-96.65,-101.56,4.91
4.416,-96.59,-101.47,4.87
4.448,-96.54,-101.40,4.86
4.480,-96.50,-101.32,4.82
4.512,-96.45,-101.25,4.80
4.544,-96.41,-101.18,4.76
4.576,-96.37,-101.11,4.74
4.608,-96.34,-101.04,4.71
4.640,-96.30,-100.98,4.68
4.672,-96.27,-100.92,4.65
4.704,-96.23,-100.85,4.62
4.736,-96.20,-100.79,4.60
4.768,-96.16,-100.73,4.57
4.800,-96.13,-100.67,4.54
4.832,-96.10,-100.61,4.52
4.864,-96.06,-100.56,4.49
4.896,-96.03,-100.50,4.47
4.928,-96.00,-100.44,4.44
4.960,-95.97,-100.39,4.42
4.992,-95.93,-100.33,4.40
5.024,-95.90,-100.28,4.37
5.056,-95.87,-100.22,4.35
5.088,-95.84,-100.17,4.33
5.120,-95.81,-100.11,4.31
5.152,-95.77,-100.06,4.29
5.184,-95.74,-100.01,4.27
5.216,-95.71,-99.95,4.25
5.248,-95.68,-99.90,4.23
5.280,-95.64,-99.85,4.21
5.312,-95.61,-99.80,4.19
5.344,-95.58,-99.75,4.17
5.376,-95.54,-99.70,4.15
5.408,-95.51,-99.65,4.13
5.440,-95.48,-99.59,4.12
5.472,-95.44,-99.54,4.10
5.504,-95.41,-99.49,4.08
5.536,-95.38,-99.44,4.07
5.568,-95.34,-99.40,4.05
5.600,-95.31,-99.35,4.04
5.632,-95.28,-99.30,4.02
5.664,-95.24,-99.25,4.01
5.696,-95.21,-99.20,3.99
5.728,-95.17,-99.15,3.98
5.760,-95.14,-99.10,3.96
5.792,-95.10,-99.05,3.95
5.824,-95.07,-99.01,3.94
5.856,-95.03,-98.96,3.92
5.888,-95.00,-98.91,3.91
5.920,-94.96,-98.86,3.90
5.952,-94.92,-98.81,3.89
5.984,-94.89,-98.76,3.88
6.016,-94.85,-98.72,3.86
6.048,-94.82,-98.67,3.85
6.080,-94.78,-98.62,3.84
6.112,-94.74,-98.57,3.83
6.144,-94.70,-98.53,3.82
6.176,-94.67,-98.48,3.81
